child_id,family_id,child_name,first_name,last_name,gender,dob,race,ethnicity,birth_weight,special_needs_flag,guardian_email,enrollment_status,zip_code
CH_000001,FAM_000353,Daniel Harris,Daniel,Harris,F,2018-12-15,RaceB,Asian,3.75,1,jessica84@example.net,Active,11605
CH_000002,FAM_002657,Patricia Orozco,Patricia,Orozco,F,2023-06-25,RaceB,Hispanic,4.84,1,ambertate@example.com,Inactive,52465
CH_000003,FAM_002873,Jackie Montoya,Jackie,Montoya,F,2019-11-22,RaceA,White,4.62,1,stricklandjason@example.com,Waitlisted,30194
CH_000004,FAM_001962,Christopher Andrews,Christopher,Andrews,Other,2023-12-15,RaceB,Asian,2.14,0,pcook@example.net,Waitlisted,37847
CH_000005,FAM_001006,Maurice King,Maurice,King,M,2018-07-31,RaceC,Hispanic,2.52,0,evansdana@example.com,Active,59342
CH_000006,FAM_001559,Caleb Nelson,Caleb,Nelson,M,2018-09-16,RaceA,Asian,4.68,1,framsey@example.org,Inactive,17677
CH_000007,FAM_002459,William Reed,William,Reed,Other,2025-09-08,RaceB,Hispanic,2.06,1,epoole@example.net,Inactive,18692
CH_000008,FAM_000052,John Browning,John,Browning,F,2017-09-14,RaceC,Asian,2.6,0,dgibbs@example.org,Inactive,84541
CH_000009,FAM_001909,Zachary Keith,Zachary,Keith,M,2022-04-01,RaceC,Hispanic,3.54,1,burnsmichael@example.net,Active,19643
CH_000010,FAM_002091,Kristin Garcia,Kristin,Garcia,M,2025-04-05,RaceA,Hispanic,4.99,1,david77@example.com,Active,60415
CH_000011,FAM_002427,Margaret Serrano,Margaret,Serrano,Other,2018-07-20,RaceA,White,3.17,0,sethrodriguez@example.net,Inactive,17677
CH_000012,FAM_002894,Brittney Williams,Brittney,Williams,F,2025-09-17,RaceB,Hispanic,4.57,0,vhicks@example.org,Active,24204
CH_000013,FAM_001255,Sheri Patel,Sheri,Patel,Other,2018-08-06,RaceB,Non-Hispanic,3.5,1,jasonmorris@example.com,Waitlisted,37864
CH_000014,FAM_002655,Victoria Johnson,Victoria,Johnson,M,2016-02-09,RaceB,Black,4.87,1,joshuaodonnell@example.net,Inactive,73760
CH_000015,FAM_001992,Tracey Bradley,Tracey,Bradley,Other,2021-02-04,RaceB,Hispanic,3.67,1,donna35@example.org,Active,09140
CH_000016,FAM_001755,Kimberly Mcmahon,Kimberly,Mcmahon,Other,2016-01-14,RaceC,Black,2.84,1,floresbrittany@example.com,Waitlisted,11494
CH_000017,FAM_001975,Austin Johnson,Austin,Johnson,F,2019-11-04,RaceB,Hispanic,4.8,0,beth29@example.org,Inactive,95821
CH_000018,FAM_000755,Megan Hobbs,Megan,Hobbs,F,2025-07-13,RaceB,Hispanic,2.46,1,carolyn65@example.net,Waitlisted,18692
CH_000019,FAM_000190,Melinda Cowan,Melinda,Cowan,Other,2015-07-05,RaceA,Hispanic,3.55,0,raven01@example.com,Inactive,60415
CH_000020,FAM_000176,Jon Wright II,Jon,II,F,2021-10-25,RaceB,Asian,3.26,1,harrisalexis@example.net,Inactive,69677
CH_000021,FAM_000095,Susan Carey,Susan,Carey,F,2019-09-12,RaceC,White,2.4,0,kwilson@example.com,Active,32032
CH_000022,FAM_001449,Sean Watkins,Sean,Watkins,F,2024-08-01,RaceA,Asian,3.14,0,qhoward@example.com,Waitlisted,88379
CH_000023,FAM_000531,Kevin Mitchell,Kevin,Mitchell,Other,2023-08-30,RaceA,Asian,4.91,1,houstonmicheal@example.org,Inactive,69514
CH_000024,FAM_000331,Phyllis White,Phyllis,White,Other,2019-06-03,RaceA,Hispanic,4.15,0,reynoldszachary@example.com,Active,00706
CH_000025,FAM_001053,Christina Odonnell,Christina,Odonnell,M,2023-07-19,RaceA,Non-Hispanic,2.83,1,dpace@example.com,Waitlisted,31849
CH_000026,FAM_002863,Diane Daniels,Diane,Daniels,M,2016-01-25,RaceC,Non-Hispanic,4.69,0,crystal04@example.org,Inactive,92977
CH_000027,FAM_002938,Johnny Martin,Johnny,Martin,Other,2022-04-11,RaceB,Asian,2.33,0,michaelguerra@example.org,Waitlisted,37847
CH_000028,FAM_000409,Mr. Patrick Garcia,Mr.,Garcia,Other,2016-04-24,RaceB,White,4.63,1,mbrown@example.org,Active,31634
CH_000029,FAM_000207,Eugene Monroe,Eugene,Monroe,M,2019-10-01,RaceA,Hispanic,4.65,1,donald62@example.org,Inactive,84844
CH_000030,FAM_001942,Jennifer Long,Jennifer,Long,M,2019-10-12,RaceC,Hispanic,4.42,1,jamesnathan@example.org,Waitlisted,11183
CH_000031,FAM_000037,Michael Young,Michael,Young,Other,2019-06-20,RaceA,White,3.37,0,crystal46@example.org,Inactive,93745
CH_000032,FAM_001871,Kyle Miller,Kyle,Miller,M,2019-05-20,RaceA,Asian,2.17,0,clarkjohn@example.net,Active,67149
CH_000033,FAM_000468,Justin Dodson,Justin,Dodson,M,2015-03-16,RaceB,Asian,2.86,0,mejiacody@example.com,Active,80532
CH_000034,FAM_001777,Monica Perez,Monica,Perez,Other,2020-04-20,RaceC,Non-Hispanic,2.98,1,yvargas@example.net,Waitlisted,08733
CH_000035,FAM_000989,Patrick Ramos,Patrick,Ramos,Other,2024-09-19,RaceB,Asian,3.04,1,scott64@example.net,Waitlisted,81507
CH_000036,FAM_001102,Christopher Johnson,Christopher,Johnson,Other,2023-02-03,RaceB,Asian,4.69,1,lcabrera@example.org,Active,80308
CH_000037,FAM_002297,Suzanne George,Suzanne,George,Other,2019-06-23,RaceA,Non-Hispanic,3.9,0,phamjennifer@example.org,Inactive,15031
CH_000038,FAM_001496,Jonathan Willis,Jonathan,Willis,M,2022-05-22,RaceA,White,2.5,1,david05@example.com,Waitlisted,48714
CH_000039,FAM_000113,Elizabeth Larsen,Elizabeth,Larsen,F,2022-04-26,RaceC,Black,4.68,0,deanboyle@example.com,Waitlisted,93745
CH_000040,FAM_002680,Dr. Thomas Olson,Dr.,Olson,F,2023-06-28,RaceC,Non-Hispanic,2.05,1,sierrasanchez@example.com,Active,43714
CH_000041,FAM_002750,Christopher Hanna,Christopher,Hanna,Other,2017-11-16,RaceB,Asian,4.28,1,michael51@example.org,Active,67149
CH_000042,FAM_002184,Roger Daniels,Roger,Daniels,F,2017-02-21,RaceA,Asian,2.06,1,smithrenee@example.net,Waitlisted,57841
CH_000043,FAM_002485,Joseph Grant,Joseph,Grant,M,2017-04-17,RaceC,Black,3.62,0,miguel32@example.net,Waitlisted,39973
CH_000044,FAM_001314,Sherry Riley,Sherry,Riley,M,2015-02-21,RaceC,Hispanic,4.4,0,xmartinez@example.com,Active,42271
CH_000045,FAM_000427,Mary Snyder,Mary,Snyder,M,2016-10-08,RaceB,Asian,2.39,0,contrerassheila@example.net,Inactive,18692
CH_000046,FAM_000739,Robert Valdez,Robert,Valdez,M,2016-02-01,RaceC,Asian,4.05,0,hbennett@example.org,Active,24128
CH_000047,FAM_000888,Robert Lee,Robert,Lee,F,2016-12-30,RaceA,Hispanic,2.44,0,andersonlisa@example.net,Waitlisted,31753
CH_000048,FAM_001880,Bridget Jones,Bridget,Jones,M,2022-09-11,RaceA,Non-Hispanic,4.87,1,bradleysteven@example.org,Inactive,55977
CH_000049,FAM_000027,Daniel Jones,Daniel,Jones,M,2014-11-19,RaceB,White,2.05,1,jasonsmith@example.com,Waitlisted,38102
CH_000050,FAM_002168,Christopher Adkins,Christopher,Adkins,F,2017-09-11,RaceC,White,4.05,0,brandon89@example.com,Inactive,69496
CH_000051,FAM_001521,Jason Jimenez,Jason,Jimenez,Other,2025-04-17,RaceB,Black,2.52,0,dhayes@example.net,Inactive,73760
CH_000052,FAM_000332,Christine Conner,Christine,Conner,Other,2019-10-23,RaceB,Hispanic,3.42,1,amorse@example.net,Inactive,54353
CH_000053,FAM_000452,Donald Mendez,Donald,Mendez,F,2020-01-08,RaceB,Hispanic,2.03,0,vwilson@example.org,Inactive,93745
CH_000054,FAM_002393,Lisa Reyes,Lisa,Reyes,M,2018-01-11,RaceA,Hispanic,3.91,1,ewagner@example.net,Waitlisted,75267
CH_000055,FAM_000330,Janet Lawson,Janet,Lawson,F,2022-08-27,RaceA,White,4.19,0,erikgraham@example.com,Inactive,88334
CH_000056,FAM_002549,Anthony Sanchez,Anthony,Sanchez,Other,2022-03-12,RaceB,Non-Hispanic,3.66,0,debbie64@example.net,Active,88379
CH_000057,FAM_001085,Joseph Smith,Joseph,Smith,Other,2016-04-05,RaceB,Non-Hispanic,3.88,0,mjohnson@example.net,Active,54882
CH_000058,FAM_002633,Chelsea Oliver,Chelsea,Oliver,M,2015-07-21,RaceB,Hispanic,3.27,1,pnorris@example.com,Inactive,01189
CH_000059,FAM_001245,Leonard Vasquez,Leonard,Vasquez,M,2022-01-30,RaceB,Asian,3.89,1,elizabethkane@example.net,Active,55977
CH_000060,FAM_001482,Deborah Fuller,Deborah,Fuller,Other,2022-02-11,RaceB,Non-Hispanic,2.61,0,marc86@example.org,Inactive,07481
CH_000061,FAM_001064,Miss Melissa Cunningham,Miss,Cunningham,F,2025-06-03,RaceA,White,3.83,0,melissa42@example.net,Inactive,94178
CH_000062,FAM_001489,Jeremy Morris,Jeremy,Morris,F,2022-05-31,RaceA,Asian,2.45,0,zbell@example.com,Inactive,05521
CH_000063,FAM_001722,Rebecca Brown,Rebecca,Brown,F,2019-02-26,RaceA,Hispanic,4.86,1,cgray@example.net,Active,24128
CH_000064,FAM_002481,Elizabeth Phillips,Elizabeth,Phillips,Other,2024-02-27,RaceB,Black,2.36,0,kphillips@example.com,Inactive,31753
CH_000065,FAM_001936,Dennis Lewis,Dennis,Lewis,Other,2016-03-05,RaceB,Black,3.54,1,michael76@example.net,Inactive,24204
CH_000066,FAM_000581,Lisa Wiley,Lisa,Wiley,F,2020-08-10,RaceC,Hispanic,2.31,0,martin81@example.com,Active,02890
CH_000067,FAM_002527,Jared Bradley,Jared,Bradley,F,2021-06-13,RaceB,Hispanic,3.87,1,weissbecky@example.com,Waitlisted,04195
CH_000068,FAM_001620,Miguel Waters,Miguel,Waters,Other,2021-01-30,RaceA,Hispanic,2.61,0,lewisleah@example.net,Inactive,73634
CH_000069,FAM_001410,Rebecca Watts,Rebecca,Watts,M,2019-07-11,RaceB,Asian,4.85,1,sheliali@example.net,Waitlisted,64237
CH_000070,FAM_001387,Aaron Orozco,Aaron,Orozco,M,2015-06-26,RaceA,White,4.46,1,john00@example.net,Inactive,93409
CH_000071,FAM_001596,Kristen Dudley,Kristen,Dudley,F,2018-05-31,RaceB,Non-Hispanic,4.46,0,justin96@example.net,Active,72433
CH_000072,FAM_000471,Matthew Jones,Matthew,Jones,F,2022-04-28,RaceC,Non-Hispanic,4.32,0,keithfreeman@example.com,Active,20210
CH_000073,FAM_002458,Daniel Fowler,Daniel,Fowler,F,2019-05-20,RaceB,Asian,4.72,0,guzmansamuel@example.net,Active,15031
CH_000074,FAM_000763,Christian Banks,Christian,Banks,Other,2018-07-03,RaceA,Hispanic,4.15,1,ceverett@example.org,Waitlisted,56762
CH_000075,FAM_001858,John Thomas,John,Thomas,F,2023-05-28,RaceA,White,2.45,1,benjamin58@example.com,Active,03996
CH_000076,FAM_001753,Jeffery Gates,Jeffery,Gates,Other,2017-08-09,RaceC,Black,2.5,1,qmartinez@example.org,Active,82386
