employee_id,emp_name,emp_role,department,hire_date,contact_email,supervisor_name,Job_Search_Service_Used,Renewal_Flag,Industry
EMP_000001,Joseph Smith,Trainer,Finance,2024-08-27,hodgeskaren@example.com,Courtney Campbell,Online Portal,0,Retail
EMP_000002,Dennis Price,Mentor,Finance,2018-02-07,lisa21@example.org,Timothy Garcia,Workforce Center,1,Education
EMP_000003,Kim James,Mentor,Education,2024-07-11,brendaramsey@example.org,Jonathan Woods,Workforce Center,1,Healthcare
EMP_000004,Joshua Carr,Mentor,Operations,2016-03-07,justinrice@example.org,Angela Hull,None,1,Retail
EMP_000005,Jeffrey Wilson,Mentor,Finance,2025-11-01,mmullen@example.com,Christian Thomas,None,1,Technology
EMP_000006,Tracy Evans,Case Worker,Operations,2018-11-13,victoria11@example.com,Mario Lawrence,Online Portal,1,Healthcare
EMP_000007,Christopher Calderon,Administrator,Finance,2025-09-21,daniel51@example.net,Maria Kelley,Workforce Center,1,Technology
EMP_000008,Lisa Vargas,Mentor,Health,2021-11-27,kelly24@example.net,David Porter DVM,None,1,Retail
EMP_000009,Lauren Carey,Manager,Health,2025-10-11,parkerkristin@example.net,Steven Poole,Workforce Center,1,Healthcare
EMP_000010,Mary Stevenson,Mentor,Operations,2021-03-14,jessica11@example.net,Jessica Sutton,None,0,Retail
EMP_000011,Donald Poole,Trainer,Finance,2018-11-22,tharrison@example.com,Rose Marshall,Online Portal,1,Healthcare
EMP_000012,Maria Buck,Administrator,Operations,2025-07-04,davidhooper@example.net,Matthew Smith,None,1,Retail
EMP_000013,Brett Flores,Administrator,Education,2021-11-19,marie18@example.com,Jose Berry,Workforce Center,0,Retail
EMP_000014,Michele Garrett,Trainer,Operations,2016-03-30,garciaamber@example.com,Willie Brown,Workforce Center,1,Technology
EMP_000015,Lisa Rodriguez,Case Worker,Education,2020-04-21,jesseandrade@example.net,Melissa Rodriguez,Workforce Center,0,Retail
EMP_000016,Juan Neal,Trainer,Education,2017-09-26,michael41@example.org,Bryan Lewis,Online Portal,1,Technology
