family_id,family_name,parent_names,household_income,num_children,marital_status,address,geo_id,intake_date,Head_of_Household_Name,Household_Size,Family_Status,Preferred_Contact_Mode,Phone,Referral_Source,Income_Level,Parent_Education_Level,created_date
FAM_000001,Butler Family,Ryan Roth,15866.83,1,Married,26389 Stephanie Course Suite 711,GEO_0169,2020-05-06,Gina Dorsey,1,Exited,Phone,+1-271-555-0393,Self,High,Masters,2024-10-17
FAM_000002,Beck Family,Barbara Tate,140671.94,5,Separated,3379 Patricia Forges,GEO_0096,2019-02-26,Amy Robinson,5,Active,Text,203.654.3137x31295,Self,High,High School,2016-06-09
FAM_000003,Miller Family,Ray Ramos,82153.7,6,Married,03469 Griffin Fort Apt. 167,GEO_0096,2020-10-05,Marco Ward,7,Active,Email,+1-988-519-8759,Community Partner,Moderate,Masters,2020-10-24
FAM_000004,Villegas Family,Amanda Murray,148477.18,4,Married,69608 Harris Spring Suite 685,GEO_0038,2017-02-25,Leslie Wagner,1,Inactive,Phone,(429)527-8099,Community Partner,Moderate,Bachelors,2025-08-17
FAM_000005,Jones Family,Kelly Hendrix,86024.3,6,Divorced,78967 Nathan Squares Apt. 962,GEO_0200,2019-01-30,William Richmond,6,Active,Phone,001-898-963-9106x204,Self,Moderate,High School,2025-10-11
FAM_000006,Fox Family,Michael Collins,45463.93,5,Separated,35564 Jennifer Fort Suite 970,GEO_0081,2021-09-26,Tanya Collins,7,Exited,Text,+1-363-603-8169,Agency,Low,High School,2016-06-27
FAM_000007,Romero Family,Mark Williams,115460.73,2,Divorced,170 Armstrong Lake,GEO_0032,2024-01-26,Kenneth Roberts,8,Exited,Phone,+1-667-607-6986,Self,High,Masters,2019-08-06
FAM_000008,Mcneil Family,Kelly King,36754.48,3,Single,76761 Scott Forks Suite 547,GEO_0003,2017-11-27,Cameron Clark,7,Inactive,Phone,991-418-5101x542,Community Partner,Moderate,Masters,2019-06-03
FAM_000009,Spencer Family,Christina Clay,59976.38,1,Separated,39898 Meghan Light,GEO_0082,2023-04-27,Anthony Smith,2,Active,Text,457-530-1808x72584,Self,High,Bachelors,2018-08-24
FAM_000010,Myers Family,Claudia Rodriguez,119317.82,2,Single,31219 John Pine Suite 724,GEO_0177,2025-06-06,Mark Cisneros,2,Exited,Email,7224727521,Community Partner,High,Masters,2022-05-13
FAM_000011,Harrison Family,Erika Jackson,131211.76,2,Divorced,4236 Jackson Cliff,GEO_0003,2018-04-22,Amanda Ross,3,Inactive,Email,423.811.4341x6638,Self,Moderate,Masters,2019-03-20
FAM_000012,Reid Family,Bryan Mccormick,56469.46,4,Divorced,90924 Mcmahon Expressway,GEO_0184,2022-12-02,Pamela Wagner,5,Inactive,Email,675.897.2777x198,Community Partner,High,Bachelors,2017-08-15
FAM_000013,Zavala Family,Andrew Logan,27426.5,1,Divorced,39111 Roth Fall,GEO_0085,2017-12-28,Stephanie Carr,2,Active,Text,8535465740,Self,High,Bachelors,2018-11-29
FAM_000014,King Family,Kyle Watson,61522.68,6,Separated,8522 John Branch,GEO_0055,2016-12-27,Jennifer Boyd,3,Inactive,Email,486-398-7164x629,Self,High,Bachelors,2021-07-13
FAM_000015,Smith Family,Christopher Davis,134528.11,5,Divorced,48088 Phillip Expressway Apt. 722,GEO_0120,2017-09-22,Cynthia Monroe,6,Exited,Text,001-277-236-0539x08110,Self,Low,High School,2017-08-19
FAM_000016,Kramer Family,Tara Shea,114063.08,3,Single,594 Sanchez Extensions,GEO_0146,2020-10-04,Jeremy Elliott,7,Inactive,Text,978.231.8263x7419,Community Partner,High,Bachelors,2023-11-04
FAM_000017,Cooper Family,Amy Newman,135249.25,6,Married,329 Carlos Lane,GEO_0083,2023-09-22,Anna Wilson,6,Exited,Text,522.450.8193,Self,High,Bachelors,2023-04-29
FAM_000018,Quinn Family,Rebecca Martinez,64130.27,1,Separated,47876 Oneal Mountain,GEO_0060,2022-05-16,Jeffrey Watson,3,Inactive,Email,(974)445-4544,Community Partner,Low,High School,2023-02-08
FAM_000019,Fuller Family,William Kramer,146321.3,1,Single,964 Jackson Walks Suite 203,GEO_0144,2018-10-11,Yesenia Tyler,4,Inactive,Email,287.892.4477x174,Agency,Moderate,Bachelors,2024-11-28
FAM_000020,Ingram Family,Renee Gonzales,79468.45,3,Separated,541 Reyes Hills,GEO_0017,2016-04-21,Roger Morgan,8,Active,Text,(886)479-9420x6137,Community Partner,High,Masters,2019-05-28
FAM_000021,Moss Family,Michael Howard,79653.27,6,Divorced,57303 Hampton Terrace Apt. 792,GEO_0099,2023-06-14,Nancy Garcia,4,Exited,Phone,276.918.2593,Self,Moderate,Masters,2022-10-18
FAM_000022,Cook Family,Steven Washington,139403.47,2,Separated,3203 King Locks Suite 753,GEO_0073,2019-05-13,Heather Ayers,5,Active,Phone,779.309.1281x21263,Community Partner,High,Masters,2023-12-12
FAM_000023,Williams Family,Edward Terry,82698.62,6,Divorced,60321 Brooks Keys Suite 661,GEO_0155,2020-03-21,Stephanie Oliver,2,Exited,Email,(567)510-2622x519,Agency,Moderate,High School,2017-12-03
FAM_000024,Payne Family,Cody Bailey,122160.73,5,Single,8870 Jones Isle Apt. 482,GEO_0055,2023-09-22,Joshua Morrow,6,Inactive,Text,362-484-4372x82840,Agency,Low,High School,2019-12-13
FAM_000025,Li Family,Denise Guerra,111791.39,1,Single,28400 Crystal Landing,GEO_0135,2025-01-15,Terry Arroyo,2,Inactive,Phone,(320)404-3209x182,Self,Moderate,Bachelors,2025-09-07
FAM_000026,Thompson Family,Kristen Jones,21049.78,2,Married,6597 Howell Haven,GEO_0056,2024-01-25,Jeff Carter,8,Exited,Text,479-666-6783x0317,Community Partner,Low,Masters,2016-03-13
FAM_000027,Maxwell Family,Edward Baker,94343.46,4,Divorced,89177 Gallagher Camp Apt. 265,GEO_0027,2019-10-09,Samuel Khan,8,Exited,Email,8996375137,Agency,Low,Masters,2025-04-15
FAM_000028,Marshall Family,Aaron Little,125127.78,2,Married,422 Christopher Lights Suite 630,GEO_0144,2021-09-22,Jacob Harris,4,Inactive,Phone,414.219.6799x18451,Agency,High,High School,2025-04-30
FAM_000029,Dominguez Family,Cody Smith,86366.42,3,Single,0236 Robert Views,GEO_0072,2021-03-08,Terri Oneal,5,Active,Email,649.765.3851x94056,Community Partner,High,High School,2022-01-03
FAM_000030,Welch Family,Patty Allen,54969.6,5,Divorced,8943 Vickie Estates,GEO_0184,2017-12-08,Matthew Pollard,6,Active,Email,+1-993-440-1075x2879,Agency,Moderate,Masters,2016-10-30
FAM_000031,Cain Family,Mary Ryan,21209.65,6,Married,7137 Sandy Park,GEO_0156,2020-08-25,Dakota Villa MD,5,Inactive,Phone,(557)350-2259,Community Partner,Moderate,High School,2024-09-23
FAM_000032,Brown Family,Joseph Jimenez,102528.69,3,Separated,75957 Ray Plaza,GEO_0172,2021-05-19,Carolyn Ellis,8,Exited,Email,+1-922-772-5449x55030,Self,Moderate,Bachelors,2021-06-02
FAM_000033,Parsons Family,Lisa Morris,52909.42,4,Separated,582 Drake Tunnel Apt. 306,GEO_0020,2021-10-24,Ronald Johnson,6,Active,Phone,+1-825-946-7723,Agency,Low,Bachelors,2020-04-05
FAM_000034,Ellis Family,Ashley Mills,94367.03,6,Single,5847 Williams Ramp Suite 412,GEO_0147,2022-12-24,Brandon Smith Jr.,8,Exited,Text,+1-878-439-0751x63806,Agency,High,High School,2018-06-26
