provider_id,provider_name,facility_type,rating,license_date,capacity,contact_email,geo_id,Active_Flag,Mentor_Assigned,Mentor_Contact
PRV_000001,Oconnell-Obrien,School,4.27,2022-10-26,150,alex87@allen.com,GEO_0047,1,Mr. James Graham,001-561-204-5796x88578
PRV_000002,Dorsey LLC,Center,3.04,2025-08-19,168,muellercynthia@gonzalez.info,GEO_0137,0,Joshua Bird,240-293-1261x1415
PRV_000003,Gardner-Rodriguez,Home,3.84,2019-07-20,229,allentorres@nelson.net,GEO_0004,1,Nicholas Mathews,001-619-273-9235
PRV_000004,Coffey-Ramirez,School,1.37,2019-10-02,214,igarcia@klein.com,GEO_0173,1,Derrick Cole,773.217.9740
PRV_000005,"Kelly, Richards and Hicks",School,3.19,2020-04-28,261,kevin85@harris.com,GEO_0144,1,Maria Dudley,287.448.2084
PRV_000006,Fox-Soto,Center,1.17,2016-12-16,277,jessicaaguirre@hernandez.com,GEO_0021,1,Theresa Hartman,001-453-279-5029x98697
PRV_000007,Matthews Group,Center,4.81,2023-11-26,131,joneslinda@hopkins.com,GEO_0098,0,Jacob Holmes,925.509.6345x7110
PRV_000008,Martin-Johnson,Home,1.13,2023-01-01,112,chorne@johnson.com,GEO_0046,1,Debbie Oliver MD,219.645.9186
PRV_000009,"Santos, Duran and King",Home,4.85,2018-02-22,169,qromero@cobb.com,GEO_0025,0,Marcia Griffith,7268042308
PRV_000010,Johnson Ltd,School,4.41,2025-09-08,52,martinezdeanna@harper.com,GEO_0121,1,Jennifer Garcia,310-591-2833
PRV_000011,Dougherty-Scott,School,1.39,2020-03-29,205,stephanie06@cook.com,GEO_0062,1,Lori Ray,3906921465
PRV_000012,Carter LLC,Home,3.4,2016-12-12,208,jennifer48@brooks-white.net,GEO_0185,1,Robert Walsh,(960)736-2602
PRV_000013,Johnson-Lopez,Center,2.95,2023-03-15,24,allenantonio@hamilton-moore.info,GEO_0005,1,John White,(696)599-9828
PRV_000014,Brown-Rodgers,Center,2.34,2019-06-07,260,austinalicia@williams.com,GEO_0001,1,Robert Paul,4883424777
PRV_000015,Davis-Stone,Home,3.38,2019-11-15,250,nsanchez@mckenzie.info,GEO_0041,1,Matthew Lawrence,(883)984-9424
PRV_000016,Johnson-Johnson,Center,1.47,2018-08-23,101,michelepatterson@kelley-taylor.com,GEO_0117,1,Ross Potter DDS,314-715-8851x6377
PRV_000017,Casey-Collins,Home,4.14,2019-11-07,272,chankatrina@arnold.net,GEO_0018,0,Michael Goodman,372.384.2775x504
PRV_000018,Rogers-Wright,Center,1.15,2019-06-25,224,matthew78@king.info,GEO_0061,1,Amanda Perez,+1-281-530-6130
PRV_000019,Patterson-Smith,Center,1.4,2025-07-13,206,ychavez@willis.com,GEO_0074,0,Hunter Martinez,001-341-856-4633x5499
PRV_000020,"Baker, Walters and Arroyo",Home,2.97,2016-05-13,237,maureendelgado@cole.net,GEO_0193,0,Amanda Rhodes,(331)869-7540x3198
PRV_000021,"Smith, Giles and Beard",Center,1.33,2017-04-02,103,currycody@lynn.com,GEO_0112,1,Katrina Clark,666.784.2415x285
PRV_000022,Tucker Ltd,School,1.33,2021-05-05,242,tanya43@orr.info,GEO_0033,1,Jill Fleming,505-993-0283x23104
PRV_000023,"Turner, Jacobs and Espinoza",Home,3.98,2016-02-07,267,suzannewolf@acevedo.net,GEO_0188,1,Mary Baker,+1-668-785-9148x63400
PRV_000024,Mendoza PLC,School,3.62,2019-10-23,278,lyncherik@joseph-edwards.com,GEO_0086,0,Scott Shaw,292.556.2923x19830
PRV_000025,Hill-Martinez,School,3.14,2018-04-10,214,stephanie70@fox.com,GEO_0063,1,Rachel Wood,001-556-631-3975x79797
PRV_000026,Kelly-Maddox,Center,2.95,2020-05-23,283,ztaylor@johnson.com,GEO_0138,0,Tina Scott,001-248-663-5641x548
PRV_000027,"Proctor, Miller and Garcia",School,3.24,2016-06-16,202,thomasthomas@stanley.com,GEO_0071,0,Kristi Lopez,001-631-702-5038x71798
